requisition_number,requisition_line_id,item,quantity,uom,destination_type_code,need_by_date,organization_id,po_number,so_number,requested_by_user_id,req_status,priority_code,creation_date,route,,Process_Area,Root_Cause_Tag,Context_Summary,SLA_Flag
REQ-0000131,900000,ITEM-00281,33,CT,INVENTORY,2025-09-14,101,PO-0000179,,G0LEML,IN PROCESS,LOW,2025-10-05,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000131 for 33 ITEM-00281s from WH 101 Status: IN PROCESS. Need-by: 2025-09-14. Delay: no delay. Destination: INVENTORY.,
REQ-0000243,900001,ITEM-00296,159,BX,SHOP FLOOR,2025-07-03,103,PO-0000221,,JAF39P,IN PROCESS,URGENT,2025-10-10,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000243 for 159 ITEM-00296s from WH 103 Status: IN PROCESS. Need-by: 2025-07-03. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000300,900002,ITEM-00088,130,PK,INVENTORY,2025-07-02,101,PO-0000131,,F6O7OY,APPROVED,LOW,2025-07-27,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000300 for 130 ITEM-00088s from WH 101 Status: APPROVED. Need-by: 2025-07-02. Delay: no delay. Destination: INVENTORY.,
REQ-0000311,900003,ITEM-00035,160,PK,SHOP FLOOR,2025-09-04,301,,SO-0000107,JN67JA,REQUIRES REAPPROVAL,STD,2025-10-07,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000311 for 160 ITEM-00035s from WH 301 Status: REQUIRES REAPPROVAL. Need-by: 2025-09-04. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000179,900004,ITEM-00060,66,PK,INVENTORY,2025-07-30,103,,SO-0000029,EG4N1I,IN PROCESS,URGENT,2025-09-15,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000179 for 66 ITEM-00060s from WH 103 Status: IN PROCESS. Need-by: 2025-07-30. Delay: no delay. Destination: INVENTORY.,
REQ-0000572,900005,ITEM-00198,148,CT,INVENTORY,2025-08-05,301,,SO-0000112,MYQAUN,IN PROCESS,LOW,2025-07-27,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000572 for 148 ITEM-00198s from WH 301 Status: IN PROCESS. Need-by: 2025-08-05. Delay: no delay. Destination: INVENTORY.,
REQ-0000167,900006,ITEM-00270,180,CT,INVENTORY,2025-06-05,301,,SO-0000139,1IBIPK,APPROVED,URGENT,2025-06-28,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000167 for 180 ITEM-00270s from WH 301 Status: APPROVED. Need-by: 2025-06-05. Delay: no delay. Destination: INVENTORY.,
REQ-0000482,900007,ITEM-00007,66,BX,INVENTORY,2025-09-11,201,,SO-0000123,3EXNSL,REQUIRES REAPPROVAL,LOW,2025-08-18,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000482 for 66 ITEM-00007s from WH 201 Status: REQUIRES REAPPROVAL. Need-by: 2025-09-11. Delay: no delay. Destination: INVENTORY.,
REQ-0000084,900008,ITEM-00247,159,BX,EXPENSE,2025-09-08,101,,SO-0000004,NG129F,REJECTED,LOW,2025-09-08,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000084 for 159 ITEM-00247s from WH 101 Status: REJECTED. Need-by: 2025-09-08. Delay: no delay. Destination: EXPENSE.,
REQ-0000211,900009,ITEM-00211,61,EA,SHOP FLOOR,2025-06-06,101,PO-0000235,,XL6IZI,REQUIRES REAPPROVAL,URGENT,2025-08-09,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000211 for 61 ITEM-00211s from WH 101 Status: REQUIRES REAPPROVAL. Need-by: 2025-06-06. Delay: no delay. Destination: SHOP FLOOR.,
