lpn_number,delivery_number,delivery_detail_id,serial_number,asset_tag,requested_by_user_id,creation_date,,Process_Area,Root_Cause_Tag,Context_Summary,SLA_Flag
LPN-0000242,DEL-000222,700000,SNQOZHLPC0,AST-P3A2JG,3JK13Q,2025-10-14,0.0,Outbound Logistics,,SERIAL SNQOZHLPC0 in LPN LPN-0000242 (delivery DEL-000222) Created: 2025-10-14. Asset tag present.,
LPN-0000242,DEL-000222,700000,SN2N3BABN3,AST-G9NXC8,3JK13Q,2025-10-14,0.0,Outbound Logistics,,SERIAL SN2N3BABN3 in LPN LPN-0000242 (delivery DEL-000222) Created: 2025-10-14. Asset tag present.,
LPN-0000242,DEL-000222,700000,SNY27TEYTB,AST-79YUSZ,3JK13Q,2025-10-14,0.0,Outbound Logistics,,SERIAL SNY27TEYTB in LPN LPN-0000242 (delivery DEL-000222) Created: 2025-10-14. Asset tag present.,
LPN-0000242,DEL-000222,700000,SN3BIVYW1W,AST-WUWXRQ,3JK13Q,2025-10-14,0.0,Outbound Logistics,,SERIAL SN3BIVYW1W in LPN LPN-0000242 (delivery DEL-000222) Created: 2025-10-14. Asset tag present.,
LPN-0000242,DEL-000222,700000,SNR4G1G0B5,AST-F2YYXQ,3JK13Q,2025-10-14,0.0,Outbound Logistics,,SERIAL SNR4G1G0B5 in LPN LPN-0000242 (delivery DEL-000222) Created: 2025-10-14. Asset tag present.,
LPN-0000160,DEL-000006,700001,SN5TSWGQ2O,AST-XYFRLG,KSJU00,2025-09-15,0.0,Outbound Logistics,,SERIAL SN5TSWGQ2O in LPN LPN-0000160 (delivery DEL-000006) Created: 2025-09-15. Asset tag present.,
LPN-0000160,DEL-000006,700001,SNAWPQGVM0,AST-7D9ZAZ,KSJU00,2025-09-15,0.0,Outbound Logistics,,SERIAL SNAWPQGVM0 in LPN LPN-0000160 (delivery DEL-000006) Created: 2025-09-15. Asset tag present.,
LPN-0000069,DEL-000179,700002,SN82RXZKCX,AST-KDMQBI,ZGRY5X,2025-09-07,0.0,Outbound Logistics,,SERIAL SN82RXZKCX in LPN LPN-0000069 (delivery DEL-000179) Created: 2025-09-07. Asset tag present.,
LPN-0000201,DEL-000139,700003,SNIQ6SQ62H,AST-FQXN2I,V5X5WN,2025-09-27,0.0,Outbound Logistics,,SERIAL SNIQ6SQ62H in LPN LPN-0000201 (delivery DEL-000139) Created: 2025-09-27. Asset tag present.,
LPN-0000201,DEL-000139,700003,SNGAYY5JBG,AST-K2DOC1,V5X5WN,2025-09-27,0.0,Outbound Logistics,,SERIAL SNGAYY5JBG in LPN LPN-0000201 (delivery DEL-000139) Created: 2025-09-27. Asset tag present.,
