item,organization_id,onhand_qty,reserved_qty,available_qty,subinventory_code,locator_code,serial_number,last_update_date,,Process_Area,Root_Cause_Tag,Context_Summary,SLA_Flag
ITEM-00189,101,360,0,360,QA,A05-B04-C02,,9/15/2025,0,,,ITEM ITEM-00189 has 360 units in WH QA . Available: 360; Reserved: 0.,
ITEM-00087,301,368,12,356,RM,A03-B02-C01,,9/9/2025,0,,,ITEM ITEM-00087 has 368 units in WH RM . Available: 356; Reserved: 12.,
ITEM-00185,301,381,28,353,FG,A02-B01-C01,SN73OHBPM9,9/17/2025,0,,,ITEM ITEM-00185 has 381 units in WH FG . Available: 353; Reserved: 28.,
ITEM-00296,103,357,10,347,FG,A04-B04-C01,SNGXOAGM0P,10/4/2025,0,,,ITEM ITEM-00296 has 357 units in WH FG . Available: 347; Reserved: 10.,
ITEM-00268,102,383,38,345,WIP,A01-B02-C01,SNFFUQ061M,9/26/2025,0,,,ITEM ITEM-00268 has 383 units in WH WIP . Available: 345; Reserved: 38.,
ITEM-00035,201,410,75,335,QA,A04-B02-C01,,10/15/2025,0,,,ITEM ITEM-00035 has 410 units in WH QA . Available: 335; Reserved: 75.,
ITEM-00039,201,394,62,332,STAGING,A05-B05-C02,SN54UM1V37,9/11/2025,0,,,ITEM ITEM-00039 has 394 units in WH STAGING . Available: 332; Reserved: 62.,
ITEM-00205,301,338,24,314,WIP,A04-B05-C01,,10/2/2025,0,,,ITEM ITEM-00205 has 338 units in WH WIP . Available: 314; Reserved: 24.,
ITEM-00173,102,317,4,313,FG,A04-B03-C02,SN1ZCPBLOO,10/4/2025,0,,,ITEM ITEM-00173 has 317 units in WH FG . Available: 313; Reserved: 4.,
ITEM-00299,103,314,10,304,QA,A02-B04-C01,,9/7/2025,0,,,ITEM ITEM-00299 has 314 units in WH QA . Available: 304; Reserved: 10.,
ITEM-00054,301,331,30,301,STAGING,A01-B01-C01,SNANOS7B5C,9/4/2025,0,,,ITEM ITEM-00054 has 331 units in WH STAGING . Available: 301; Reserved: 30.,
ITEM-00207,103,318,17,301,STAGING,A01-B03-C02,SNBDS8O8M8,10/1/2025,0,,,ITEM ITEM-00207 has 318 units in WH STAGING . Available: 301; Reserved: 17.,
ITEM-00039,101,364,65,299,FG,A03-B05-C01,SNQ943DJZJ,9/11/2025,0,,,ITEM ITEM-00039 has 364 units in WH FG . Available: 299; Reserved: 65.,
ITEM-00155,103,421,125,296,QA,A01-B02-C02,,10/15/2025,0,,,ITEM ITEM-00155 has 421 units in WH QA . Available: 296; Reserved: 125.,
ITEM-00293,201,314,19,295,STAGING,A05-B01-C02,,9/22/2025,0,,,ITEM ITEM-00293 has 314 units in WH STAGING . Available: 295; Reserved: 19.,
ITEM-00251,103,324,32,292,WIP,A01-B04-C01,SNKQRDPDZ0,9/22/2025,0,,,ITEM ITEM-00251 has 324 units in WH WIP . Available: 292; Reserved: 32.,
ITEM-00116,301,382,97,285,QA,A02-B03-C02,,10/8/2025,0,,,ITEM ITEM-00116 has 382 units in WH QA . Available: 285; Reserved: 97.,
ITEM-00046,201,303,22,281,WIP,A02-B01-C01,,9/23/2025,0,,,ITEM ITEM-00046 has 303 units in WH WIP . Available: 281; Reserved: 22.,
ITEM-00209,201,319,45,274,QA,A05-B03-C01,,10/13/2025,0,,,ITEM ITEM-00209 has 319 units in WH QA . Available: 274; Reserved: 45.,
ITEM-00100,201,294,21,273,STAGING,A02-B02-C02,,9/28/2025,0,,,ITEM ITEM-00100 has 294 units in WH STAGING . Available: 273; Reserved: 21.,
ITEM-00033,102,350,83,267,WIP,A02-B05-C02,,9/13/2025,0,,,ITEM ITEM-00033 has 350 units in WH WIP . Available: 267; Reserved: 83.,
ITEM-00095,101,269,5,264,FG,A03-B04-C01,SNRSYT2PE5,10/4/2025,0,,,ITEM ITEM-00095 has 269 units in WH FG . Available: 264; Reserved: 5.,
ITEM-00128,102,269,5,264,STAGING,A03-B05-C02,SNJ2AJX9MZ,9/19/2025,0,,,ITEM ITEM-00128 has 269 units in WH STAGING . Available: 264; Reserved: 5.,
ITEM-00159,103,333,70,263,STAGING,A01-B05-C01,,10/3/2025,0,,,ITEM ITEM-00159 has 333 units in WH STAGING . Available: 263; Reserved: 70.,
ITEM-00204,102,263,1,262,FG,A01-B03-C02,SN9871RR6F,9/25/2025,0,,,ITEM ITEM-00204 has 263 units in WH FG . Available: 262; Reserved: 1.,
ITEM-00283,101,280,21,259,QA,A01-B01-C02,SN2XAE6Q9L,10/2/2025,0,,,ITEM ITEM-00283 has 280 units in WH QA . Available: 259; Reserved: 21.,
ITEM-00146,301,264,6,258,WIP,A04-B03-C02,,9/11/2025,0,,,ITEM ITEM-00146 has 264 units in WH WIP . Available: 258; Reserved: 6.,
ITEM-00008,201,317,62,255,WIP,A05-B03-C01,,9/4/2025,0,,,ITEM ITEM-00008 has 317 units in WH WIP . Available: 255; Reserved: 62.,
ITEM-00210,201,304,49,255,FG,A01-B01-C02,,9/22/2025,0,,,ITEM ITEM-00210 has 304 units in WH FG . Available: 255; Reserved: 49.,
ITEM-00213,201,274,20,254,QA,A05-B05-C01,SN5FKLEHLP,9/11/2025,0,,,ITEM ITEM-00213 has 274 units in WH QA . Available: 254; Reserved: 20.,
ITEM-00275,103,321,69,252,STAGING,A03-B03-C01,SNHYM5P416,10/14/2025,0,,,ITEM ITEM-00275 has 321 units in WH STAGING . Available: 252; Reserved: 69.,
ITEM-00152,102,312,60,252,RM,A03-B05-C01,,9/26/2025,0,,,ITEM ITEM-00152 has 312 units in WH RM . Available: 252; Reserved: 60.,
ITEM-00089,301,258,6,252,STAGING,A02-B04-C02,SNFJSPESL3,9/3/2025,0,,,ITEM ITEM-00089 has 258 units in WH STAGING . Available: 252; Reserved: 6.,
ITEM-00032,102,276,26,250,RM,A04-B04-C02,SN5CLJ3MUV,10/16/2025,0,,,ITEM ITEM-00032 has 276 units in WH RM . Available: 250; Reserved: 26.,
ITEM-00227,103,257,7,250,QA,A03-B03-C01,,10/10/2025,0,,,ITEM ITEM-00227 has 257 units in WH QA . Available: 250; Reserved: 7.,
ITEM-00167,101,272,23,249,WIP,A03-B02-C01,,9/7/2025,0,,,ITEM ITEM-00167 has 272 units in WH WIP . Available: 249; Reserved: 23.,
ITEM-00270,103,282,34,248,FG,A03-B04-C02,SNB0ZSYAN2,10/10/2025,0,,,ITEM ITEM-00270 has 282 units in WH FG . Available: 248; Reserved: 34.,
ITEM-00077,201,280,33,247,FG,A02-B01-C01,SNRLWPYTZH,10/1/2025,0,,,ITEM ITEM-00077 has 280 units in WH FG . Available: 247; Reserved: 33.,
ITEM-00184,103,264,17,247,QA,A05-B02-C01,,10/15/2025,0,,,ITEM ITEM-00184 has 264 units in WH QA . Available: 247; Reserved: 17.,
ITEM-00134,102,284,39,245,STAGING,A03-B05-C02,,9/30/2025,0,,,ITEM ITEM-00134 has 284 units in WH STAGING . Available: 245; Reserved: 39.,
ITEM-00292,301,290,50,240,RM,A03-B03-C02,SNR4XL244D,10/9/2025,0,,,ITEM ITEM-00292 has 290 units in WH RM . Available: 240; Reserved: 50.,
ITEM-00257,102,277,38,239,STAGING,A04-B05-C02,,9/27/2025,0,,,ITEM ITEM-00257 has 277 units in WH STAGING . Available: 239; Reserved: 38.,
ITEM-00243,201,259,22,237,STAGING,A01-B05-C02,SNJO7CY62C,9/5/2025,0,,,ITEM ITEM-00243 has 259 units in WH STAGING . Available: 237; Reserved: 22.,
ITEM-00203,301,248,13,235,FG,A01-B03-C02,,9/14/2025,0,,,ITEM ITEM-00203 has 248 units in WH FG . Available: 235; Reserved: 13.,
ITEM-00114,201,294,61,233,STAGING,A05-B04-C01,SNJUK1ZW7H,10/13/2025,0,,,ITEM ITEM-00114 has 294 units in WH STAGING . Available: 233; Reserved: 61.,
ITEM-00085,101,288,60,228,RM,A04-B02-C02,,9/27/2025,0,,,ITEM ITEM-00085 has 288 units in WH RM . Available: 228; Reserved: 60.,
ITEM-00168,301,268,43,225,RM,A01-B05-C02,SN2E1P113G,9/12/2025,0,,,ITEM ITEM-00168 has 268 units in WH RM . Available: 225; Reserved: 43.,
ITEM-00174,201,302,78,224,FG,A03-B03-C01,,9/5/2025,0,,,ITEM ITEM-00174 has 302 units in WH FG . Available: 224; Reserved: 78.,
ITEM-00258,103,253,29,224,FG,A05-B05-C02,SN1FFQH7II,10/11/2025,0,,,ITEM ITEM-00258 has 253 units in WH FG . Available: 224; Reserved: 29.,
ITEM-00032,201,264,41,223,RM,A03-B05-C01,,10/8/2025,0,,,ITEM ITEM-00032 has 264 units in WH RM . Available: 223; Reserved: 41.,
ITEM-00045,101,260,37,223,STAGING,A04-B01-C02,SNXJUDKTR4,9/17/2025,0,,,ITEM ITEM-00045 has 260 units in WH STAGING . Available: 223; Reserved: 37.,
ITEM-00188,101,252,31,221,RM,A03-B04-C01,,10/16/2025,0,,,ITEM ITEM-00188 has 252 units in WH RM . Available: 221; Reserved: 31.,
ITEM-00130,301,249,28,221,WIP,A01-B02-C01,,10/3/2025,0,,,ITEM ITEM-00130 has 249 units in WH WIP . Available: 221; Reserved: 28.,
ITEM-00002,101,246,26,220,RM,A01-B02-C01,,9/26/2025,0,,,ITEM ITEM-00002 has 246 units in WH RM . Available: 220; Reserved: 26.,
ITEM-00297,301,232,13,219,RM,A02-B04-C01,SN6EYT42N7,9/28/2025,0,,,ITEM ITEM-00297 has 232 units in WH RM . Available: 219; Reserved: 13.,
ITEM-00167,301,226,8,218,STAGING,A03-B05-C02,SNCXF6MMXQ,10/13/2025,0,,,ITEM ITEM-00167 has 226 units in WH STAGING . Available: 218; Reserved: 8.,
ITEM-00285,102,253,36,217,QA,A05-B05-C01,,10/9/2025,0,,,ITEM ITEM-00285 has 253 units in WH QA . Available: 217; Reserved: 36.,
ITEM-00126,102,240,25,215,STAGING,A01-B04-C01,SN98UWN1MT,10/6/2025,0,,,ITEM ITEM-00126 has 240 units in WH STAGING . Available: 215; Reserved: 25.,
ITEM-00098,102,229,21,208,QA,A04-B03-C02,,9/30/2025,0,,,ITEM ITEM-00098 has 229 units in WH QA . Available: 208; Reserved: 21.,
ITEM-00228,301,221,14,207,QA,A05-B01-C02,,10/9/2025,0,,,ITEM ITEM-00228 has 221 units in WH QA . Available: 207; Reserved: 14.,
ITEM-00295,102,234,31,203,WIP,A04-B03-C01,,9/7/2025,0,,,ITEM ITEM-00295 has 234 units in WH WIP . Available: 203; Reserved: 31.,
ITEM-00242,102,224,21,203,QA,A05-B05-C01,,9/8/2025,0,,,ITEM ITEM-00242 has 224 units in WH QA . Available: 203; Reserved: 21.,
ITEM-00052,101,222,22,200,RM,A01-B01-C01,SNN5SM4CJ6,10/18/2025,0,,,ITEM ITEM-00052 has 222 units in WH RM . Available: 200; Reserved: 22.,
ITEM-00059,101,200,1,199,QA,A05-B04-C02,,9/10/2025,0,,,ITEM ITEM-00059 has 200 units in WH QA . Available: 199; Reserved: 1.,
ITEM-00026,301,215,17,198,WIP,A02-B01-C02,SND2EF0ZWS,9/15/2025,0,,,ITEM ITEM-00026 has 215 units in WH WIP . Available: 198; Reserved: 17.,
ITEM-00279,301,229,36,193,FG,A04-B02-C02,SNQHQE9WXI,9/21/2025,0,,,ITEM ITEM-00279 has 229 units in WH FG . Available: 193; Reserved: 36.,
ITEM-00163,101,217,25,192,WIP,A01-B04-C02,,9/13/2025,0,,,ITEM ITEM-00163 has 217 units in WH WIP . Available: 192; Reserved: 25.,
ITEM-00254,101,198,6,192,QA,A03-B04-C02,,9/17/2025,0,,,ITEM ITEM-00254 has 198 units in WH QA . Available: 192; Reserved: 6.,
ITEM-00218,201,205,13,192,WIP,A01-B02-C02,,10/8/2025,0,,,ITEM ITEM-00218 has 205 units in WH WIP . Available: 192; Reserved: 13.,
ITEM-00180,301,198,6,192,FG,A04-B01-C02,,9/6/2025,0,,,ITEM ITEM-00180 has 198 units in WH FG . Available: 192; Reserved: 6.,
ITEM-00095,102,196,5,191,STAGING,A02-B02-C01,,9/10/2025,0,,,ITEM ITEM-00095 has 196 units in WH STAGING . Available: 191; Reserved: 5.,
ITEM-00096,101,260,72,188,QA,A05-B04-C02,SN8911RARX,10/17/2025,0,,,ITEM ITEM-00096 has 260 units in WH QA . Available: 188; Reserved: 72.,
ITEM-00284,301,195,7,188,RM,A03-B02-C02,,9/14/2025,0,,,ITEM ITEM-00284 has 195 units in WH RM . Available: 188; Reserved: 7.,
ITEM-00294,102,193,5,188,WIP,A01-B05-C02,SN530HABDC,9/29/2025,0,,,ITEM ITEM-00294 has 193 units in WH WIP . Available: 188; Reserved: 5.,
ITEM-00007,102,212,25,187,RM,A05-B03-C01,,10/2/2025,0,,,ITEM ITEM-00007 has 212 units in WH RM . Available: 187; Reserved: 25.,
ITEM-00144,101,195,8,187,STAGING,A05-B04-C02,SNBEYFBUKA,10/10/2025,0,,,ITEM ITEM-00144 has 195 units in WH STAGING . Available: 187; Reserved: 8.,
ITEM-00122,101,195,8,187,RM,A03-B03-C01,SNJSAFCYP5,9/27/2025,0,,,ITEM ITEM-00122 has 195 units in WH RM . Available: 187; Reserved: 8.,
ITEM-00070,103,191,4,187,WIP,A03-B04-C02,SN2LXYFVDB,10/7/2025,0,,,ITEM ITEM-00070 has 191 units in WH WIP . Available: 187; Reserved: 4.,
ITEM-00033,102,192,6,186,RM,A03-B01-C01,SN5NRCPAGW,9/20/2025,0,,,ITEM ITEM-00033 has 192 units in WH RM . Available: 186; Reserved: 6.,
ITEM-00015,301,221,36,185,QA,A03-B01-C01,SNCIXOVKOY,9/12/2025,0,,,ITEM ITEM-00015 has 221 units in WH QA . Available: 185; Reserved: 36.,
ITEM-00017,301,198,13,185,WIP,A03-B01-C02,SNL38CHEKK,9/28/2025,0,,,ITEM ITEM-00017 has 198 units in WH WIP . Available: 185; Reserved: 13.,
