po_number,line_location_id,line_num,item,uom,organization_id,ordered_qty,received_qty,promised_date,need_by_date,last_receipt_date,accepted_qty,rejected_qty,buyer_user_id,vendor_name,po_status,creation_date,,Process_Area,Root_Cause_Tag,Context_Summary,SLA_Flag
PO-0000179,600000,7,ITEM-00281,CT,101,33,34,2025-10-27,2025-09-14,2025-09-15,33,1,VNA6GA,Wayne Industrial,REJECTED,2025-08-15,1.0,Procurement,,PO PO-0000179 for 33 ITEM-00281s from Wayne Industrial to WH 101. Status: REJECTED. ETA: 2025-09-14. Delay: 1 day.,
PO-0000221,600001,9,ITEM-00296,BX,103,159,162,2025-11-05,2025-07-03,2025-08-22,159,3,YA8DYU,Globex Ltd,REQUIRES REAPPROVAL,2025-09-05,50.0,Procurement,,PO PO-0000221 for 159 ITEM-00296s from Globex Ltd to WH 103. Status: REQUIRES REAPPROVAL. ETA: 2025-07-03. Delay: 50 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000131,600002,6,ITEM-00088,PK,101,130,129,2025-08-03,2025-07-02,2025-08-21,129,0,63RGAY,Stark Logistics,REJECTED,2025-10-01,108.0,Procurement,,PO PO-0000131 for 130 ITEM-00088s from Stark Logistics to WH 101. Status: REJECTED. ETA: 2025-07-02. Delay: 108 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000235,600003,3,ITEM-00211,EA,101,61,61,2025-09-01,2025-06-06,2025-09-07,61,0,40HAPD,Initech,IN PROCESS,2025-07-17,93.0,Procurement,,PO PO-0000235 for 61 ITEM-00211s from Initech to WH 101. Status: IN PROCESS. ETA: 2025-06-06. Delay: 93 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000089,600004,8,ITEM-00111,EA,103,122,124,2025-11-05,2025-10-15,2025-09-17,122,2,QRPPBL,Contoso Supply,IN PROCESS,2025-08-10,0.0,Procurement,,PO PO-0000089 for 122 ITEM-00111s from Contoso Supply to WH 103. Status: IN PROCESS. ETA: 2025-10-15. Delay: no delay.,
PO-0000009,600005,6,ITEM-00286,EA,201,18,13,2025-10-03,2025-10-07,2025-09-23,13,0,7SWXW3,Acme Parts,APPROVED,2025-08-13,11.0,Procurement,,PO PO-0000009 for 18 ITEM-00286s from Acme Parts to WH 201. Status: APPROVED. ETA: 2025-10-07. Delay: 11 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000155,600006,9,ITEM-00108,CT,101,35,35,2025-10-10,2025-10-04,2025-10-08,35,0,CKLQ8U,Stark Logistics,REQUIRES REAPPROVAL,2025-10-18,4.0,Procurement,,PO PO-0000155 for 35 ITEM-00108s from Stark Logistics to WH 101. Status: REQUIRES REAPPROVAL. ETA: 2025-10-04. Delay: 4 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000225,600007,2,ITEM-00098,EA,102,110,105,2025-10-18,2025-09-22,2025-09-20,105,0,60SJM6,Initech,IN PROCESS,2025-09-08,26.0,Procurement,,PO PO-0000225 for 110 ITEM-00098s from Initech to WH 102. Status: IN PROCESS. ETA: 2025-09-22. Delay: 26 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000017,600008,7,ITEM-00223,PK,102,6,8,2025-11-01,2025-09-21,2025-09-12,6,2,PBLXBQ,Acme Parts,APPROVED,2025-09-29,0.0,Procurement,,PO PO-0000017 for 6 ITEM-00223s from Acme Parts to WH 102. Status: APPROVED. ETA: 2025-09-21. Delay: no delay.,
PO-0000091,600009,1,ITEM-00254,BX,101,199,198,2025-08-15,2025-09-23,2025-08-26,198,0,87M07K,Acme Parts,APPROVED,2025-07-14,25.0,Procurement,,PO PO-0000091 for 199 ITEM-00254s from Acme Parts to WH 101. Status: APPROVED. ETA: 2025-09-23. Delay: 25 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000202,600010,3,ITEM-00224,CT,102,99,97,2025-09-10,2025-05-28,2025-09-08,97,0,RUQJN4,Wayne Industrial,APPROVED,2025-08-25,143.0,Procurement,,PO PO-0000202 for 99 ITEM-00224s from Wayne Industrial to WH 102. Status: APPROVED. ETA: 2025-05-28. Delay: 143 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000245,600011,5,ITEM-00091,CT,301,143,143,2025-07-25,2025-10-05,2025-10-05,143,0,47X297,Acme Parts,APPROVED,2025-09-27,0.0,Procurement,,PO PO-0000245 for 143 ITEM-00091s from Acme Parts to WH 301. Status: APPROVED. ETA: 2025-10-05. Delay: no delay.,
PO-0000104,600012,1,ITEM-00098,BX,201,138,135,2025-08-24,2025-06-30,2025-09-07,135,0,8TSF53,Globex Ltd,REJECTED,2025-07-13,110.0,Procurement,,PO PO-0000104 for 138 ITEM-00098s from Globex Ltd to WH 201. Status: REJECTED. ETA: 2025-06-30. Delay: 110 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000118,600013,7,ITEM-00052,PK,103,41,41,2025-09-21,2025-10-07,2025-08-24,41,0,RE1MMC,Wayne Industrial,REQUIRES REAPPROVAL,2025-10-07,0.0,Procurement,,PO PO-0000118 for 41 ITEM-00052s from Wayne Industrial to WH 103. Status: REQUIRES REAPPROVAL. ETA: 2025-10-07. Delay: no delay.,
PO-0000247,600014,8,ITEM-00132,CT,102,47,48,2025-09-22,2025-09-03,2025-08-27,47,1,XIA2MN,Stark Logistics,APPROVED,2025-09-23,0.0,Procurement,,PO PO-0000247 for 47 ITEM-00132s from Stark Logistics to WH 102. Status: APPROVED. ETA: 2025-09-03. Delay: no delay.,
PO-0000221,600015,1,ITEM-00033,CT,102,172,174,2025-10-08,2025-06-09,2025-08-27,172,2,YA8DYU,Globex Ltd,REQUIRES REAPPROVAL,2025-09-05,79.0,Procurement,,PO PO-0000221 for 172 ITEM-00033s from Globex Ltd to WH 102. Status: REQUIRES REAPPROVAL. ETA: 2025-06-09. Delay: 79 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000064,600016,4,ITEM-00100,CT,301,178,173,2025-10-29,2025-06-16,2025-08-21,173,0,NIJBGW,Initech,APPROVED,2025-07-10,124.0,Procurement,,PO PO-0000064 for 178 ITEM-00100s from Initech to WH 301. Status: APPROVED. ETA: 2025-06-16. Delay: 124 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000006,600017,6,ITEM-00120,CT,103,126,123,2025-09-24,2025-05-20,2025-09-17,123,0,39ZJBK,Globex Ltd,REJECTED,2025-07-01,151.0,Procurement,,PO PO-0000006 for 126 ITEM-00120s from Globex Ltd to WH 103. Status: REJECTED. ETA: 2025-05-20. Delay: 151 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000029,600018,9,ITEM-00283,CT,101,118,122,2025-09-28,2025-07-10,2025-09-23,118,4,FHZBDV,Globex Ltd,IN PROCESS,2025-08-19,75.0,Procurement,,PO PO-0000029 for 118 ITEM-00283s from Globex Ltd to WH 101. Status: IN PROCESS. ETA: 2025-07-10. Delay: 75 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000118,600019,3,ITEM-00276,EA,301,68,71,2025-11-01,2025-10-01,2025-10-09,68,3,RE1MMC,Wayne Industrial,REQUIRES REAPPROVAL,2025-10-07,8.0,Procurement,,PO PO-0000118 for 68 ITEM-00276s from Wayne Industrial to WH 301. Status: REQUIRES REAPPROVAL. ETA: 2025-10-01. Delay: 8 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000048,600020,2,ITEM-00109,PK,101,139,142,2025-07-24,2025-10-01,2025-09-08,139,3,P1PYNF,Wayne Industrial,REJECTED,2025-07-05,0.0,Procurement,,PO PO-0000048 for 139 ITEM-00109s from Wayne Industrial to WH 101. Status: REJECTED. ETA: 2025-10-01. Delay: no delay.,
PO-0000149,600021,2,ITEM-00191,EA,101,155,152,2025-09-01,2025-07-21,2025-09-29,152,0,FIJMNK,Contoso Supply,IN PROCESS,2025-06-27,89.0,Procurement,,PO PO-0000149 for 155 ITEM-00191s from Contoso Supply to WH 101. Status: IN PROCESS. ETA: 2025-07-21. Delay: 89 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000120,600022,4,ITEM-00116,PK,301,148,145,2025-08-18,2025-09-11,2025-09-18,145,0,QDRWJC,Initech,APPROVED,2025-10-16,37.0,Procurement,,PO PO-0000120 for 148 ITEM-00116s from Initech to WH 301. Status: APPROVED. ETA: 2025-09-11. Delay: 37 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000036,600023,5,ITEM-00117,PK,301,69,68,2025-07-22,2025-05-30,2025-09-08,68,0,E8812A,Initech,APPROVED,2025-07-31,141.0,Procurement,,PO PO-0000036 for 69 ITEM-00117s from Initech to WH 301. Status: APPROVED. ETA: 2025-05-30. Delay: 141 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000173,600024,2,ITEM-00189,EA,101,170,171,2025-10-07,2025-04-25,2025-10-15,170,1,GVSG2W,Initech,IN PROCESS,2025-10-17,173.0,Procurement,,PO PO-0000173 for 170 ITEM-00189s from Initech to WH 101. Status: IN PROCESS. ETA: 2025-04-25. Delay: 173 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000256,600025,1,ITEM-00203,PK,103,159,161,2025-10-12,2025-09-25,2025-09-07,159,2,OV4Z7L,Initech,REJECTED,2025-09-29,0.0,Procurement,,PO PO-0000256 for 159 ITEM-00203s from Initech to WH 103. Status: REJECTED. ETA: 2025-09-25. Delay: no delay.,
PO-0000107,600026,1,ITEM-00114,CT,201,162,160,2025-08-26,2025-10-13,2025-08-20,160,0,GRL4NC,Globex Ltd,REJECTED,2025-07-12,5.0,Procurement,,PO PO-0000107 for 162 ITEM-00114s from Globex Ltd to WH 201. Status: REJECTED. ETA: 2025-10-13. Delay: 5 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000075,600027,6,ITEM-00283,PK,101,154,158,2025-09-07,2025-05-05,2025-08-25,154,4,M7NFX4,Globex Ltd,APPROVED,2025-06-23,112.0,Procurement,,PO PO-0000075 for 154 ITEM-00283s from Globex Ltd to WH 101. Status: APPROVED. ETA: 2025-05-05. Delay: 112 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000248,600028,9,ITEM-00079,EA,102,102,101,2025-10-05,2025-05-27,2025-09-18,101,0,38HIW2,Globex Ltd,REQUIRES REAPPROVAL,2025-07-19,144.0,Procurement,,PO PO-0000248 for 102 ITEM-00079s from Globex Ltd to WH 102. Status: REQUIRES REAPPROVAL. ETA: 2025-05-27. Delay: 144 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000153,600029,3,ITEM-00071,PK,201,109,107,2025-08-20,2025-09-13,2025-10-14,107,0,5CT0PC,Acme Parts,REJECTED,2025-09-27,35.0,Procurement,,PO PO-0000153 for 109 ITEM-00071s from Acme Parts to WH 201. Status: REJECTED. ETA: 2025-09-13. Delay: 35 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000132,600030,2,ITEM-00299,PK,103,44,43,2025-07-25,2025-04-24,2025-10-13,43,0,DNAIAO,Stark Logistics,IN PROCESS,2025-07-26,177.0,Procurement,,PO PO-0000132 for 44 ITEM-00299s from Stark Logistics to WH 103. Status: IN PROCESS. ETA: 2025-04-24. Delay: 177 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000218,600031,1,ITEM-00007,BX,102,97,94,2025-11-06,2025-06-16,2025-10-10,94,0,THACO9,Wayne Industrial,REJECTED,2025-08-10,124.0,Procurement,,PO PO-0000218 for 97 ITEM-00007s from Wayne Industrial to WH 102. Status: REJECTED. ETA: 2025-06-16. Delay: 124 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000194,600032,8,ITEM-00116,EA,301,107,111,2025-07-24,2025-07-26,2025-10-16,107,4,JOXKCW,Stark Logistics,REJECTED,2025-09-01,82.0,Procurement,,PO PO-0000194 for 107 ITEM-00116s from Stark Logistics to WH 301. Status: REJECTED. ETA: 2025-07-26. Delay: 82 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000179,600033,7,ITEM-00259,CT,103,177,179,2025-07-11,2025-07-08,2025-09-20,177,2,VNA6GA,Wayne Industrial,REJECTED,2025-08-15,74.0,Procurement,,PO PO-0000179 for 177 ITEM-00259s from Wayne Industrial to WH 103. Status: REJECTED. ETA: 2025-07-08. Delay: 74 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000055,600034,4,ITEM-00215,EA,301,96,98,2025-09-27,2025-07-12,2025-10-07,96,2,XTAP19,Initech,REJECTED,2025-09-18,87.0,Procurement,,PO PO-0000055 for 96 ITEM-00215s from Initech to WH 301. Status: REJECTED. ETA: 2025-07-12. Delay: 87 days. SLA: SLA_BREACH.,SLA_BREACH
